,endTime,artistName,trackName,msPlayed
0,2019-12-26 17:45,The Beatles,Taxman - Remastered 2009,36580
1,2020-01-01 00:29,Elton John,Teacher I Need You,243176
2,2020-01-01 00:32,The Beatles,Something - Remastered 2009,182293
3,2020-01-01 00:35,The Beatles,Maxwell's Silver Hammer - Remastered 2009,207920
4,2020-01-01 01:18,The Beatles,Oh! Darling - Remastered 2009,207240
5,2020-01-01 01:21,The Beatles,Octopus's Garden - Remastered 2009,170720
6,2020-01-01 01:29,The Beatles,I Want You (She's So Heavy) - Remastered 2009,467320
7,2020-01-01 01:32,The Beatles,Here Comes The Sun - Remastered 2009,185733
8,2020-01-01 01:35,The Beatles,Because - Remastered 2009,165666
9,2020-01-01 01:39,The Beatles,You Never Give Me Your Money - Remastered 2009,242973
10,2020-01-01 01:44,The Beatles,Sun King - Remastered 2009,146266
11,2020-01-01 01:45,The Beatles,Mean Mr Mustard - Remastered 2009,66533
12,2020-01-01 01:46,The Beatles,Polythene Pam - Remastered 2009,72640
13,2020-01-01 01:48,The Beatles,She Came In Through The Bathroom Window - Remastered 2009,118626
14,2020-01-01 01:50,The Beatles,Golden Slumbers - Remastered 2009,91760
15,2020-01-01 01:51,The Beatles,Carry That Weight - Remastered 2009,96466
16,2020-01-01 01:54,The Beatles,The End - Remastered 2009,141613
17,2020-01-01 01:54,The Beatles,Her Majesty - Remastered 2009,25986
18,2020-01-01 02:08,The Beatles,Come Together - Remastered 2009,111103
19,2020-01-01 02:10,The Beatles,Drive My Car - Remastered 2009,97216
20,2020-01-01 13:32,The Beatles,Happiness Is A Warm Gun - Remastered 2009,164546
21,2020-01-01 13:34,The Beatles,Martha My Dear - Remastered 2009,148573
22,2020-01-01 13:36,The Beatles,I'm So Tired - Remastered 2009,123493
23,2020-01-01 13:39,The Beatles,Blackbird - Remastered 2009,138386
24,2020-01-01 13:39,The Beatles,Piggies - Remastered 2009,27005
25,2020-01-01 16:31,The Beatles,Magical Mystery Tour - Remastered 2009,13760
26,2020-01-01 16:35,Elton John,Daniel,234666
27,2020-01-01 16:39,Elton John,Teacher I Need You,249866
28,2020-01-01 16:43,Elton John,Elderberry Wine,213866
29,2020-01-01 16:48,Elton John,Blues For My Baby And Me,338946
30,2020-01-01 16:52,Elton John,Midnight Creeper,232333
31,2020-01-01 16:58,Elton John,Have Mercy On The Criminal,357733
32,2020-01-01 17:02,Elton John,I'm Going To Be A Teenage Idol,235600
33,2020-01-01 17:06,Elton John,Texan Love Song,213373
34,2020-01-01 17:10,Elton John,Crocodile Rock,225043
35,2020-01-01 17:14,The Beatles,You Never Give Me Your Money - Remastered 2009,242973
36,2020-01-01 17:17,The Beatles,Sun King - Remastered 2009,146266
37,2020-01-01 17:18,The Beatles,Mean Mr Mustard - Remastered 2009,66533
38,2020-01-01 17:19,The Beatles,Polythene Pam - Remastered 2009,72640
39,2020-01-01 17:21,The Beatles,She Came In Through The Bathroom Window - Remastered 2009,118626
40,2020-01-01 17:22,The Beatles,Golden Slumbers - Remastered 2009,91760
41,2020-01-01 17:24,The Beatles,Carry That Weight - Remastered 2009,96466
42,2020-01-01 17:26,The Beatles,The End - Remastered 2009,141613
43,2020-01-01 17:27,The Beatles,Her Majesty - Remastered 2009,25986
44,2020-01-01 17:31,The Beatles,Come Together - Remastered 2009,259946
45,2020-01-01 18:52,The Beatles,Something - Remastered 2009,182293
46,2020-01-01 18:55,The Beatles,Maxwell's Silver Hammer - Remastered 2009,207920
47,2020-01-01 18:59,The Beatles,Oh! Darling - Remastered 2009,207240
48,2020-01-01 19:02,The Beatles,Octopus's Garden - Remastered 2009,170720
49,2020-01-01 19:09,The Beatles,I Want You (She's So Heavy) - Remastered 2009,467320
50,2020-01-01 19:13,The Beatles,Here Comes The Sun - Remastered 2009,185733
51,2020-01-01 20:08,Pink Floyd,One Of These Days - 2011 Remastered Version,330
52,2020-01-01 20:08,The Beatles,Because - Remastered 2009,153010
53,2020-01-01 21:09,Pink Floyd,Echoes - 2011 Remastered Version,1412451
54,2020-01-01 21:13,Pink Floyd,One Of These Days - 2011 Remastered Version,221748
55,2020-01-01 21:13,Pink Floyd,A Pillow Of Winds - 2011 Remastered Version,330
56,2020-01-01 21:19,Pink Floyd,Fearless - 2011 Remastered Version,367933
57,2020-01-01 21:21,Pink Floyd,San Tropez - 2011 Remastered Version,91766
58,2020-01-02 10:25,Dua Lipa,Don't Start Now,158911
59,2020-01-02 10:53,Elton John,Texan Love Song,130902
60,2020-01-02 10:57,Emma Stone,Someone In The Crowd,259613
61,2020-01-02 10:59,Justin Hurwitz,Mia & Sebastian’s Theme,98040
62,2020-01-02 11:01,Ryan Gosling,City Of Stars,111240
63,2020-01-02 11:05,Justin Hurwitz,Planetarium,257280
64,2020-01-02 11:07,Justin Hurwitz,Engagement Party,87213
65,2020-01-02 11:10,Emma Stone,Audition (The Fools Who Dream),228266
66,2020-01-02 11:19,Justin Hurwitz,Epilogue,403124
67,2020-01-02 11:22,Dua Lipa,Don't Start Now,183290
68,2020-01-02 11:25,Dua Lipa,Don't Start Now,183290
69,2020-01-02 11:28,Dua Lipa,Don't Start Now,183290
70,2020-01-02 11:31,Dua Lipa,Don't Start Now,9251
71,2020-01-02 11:35,Dua Lipa,Don't Start Now,183290
72,2020-01-02 11:38,Dua Lipa,Don't Start Now,183290
73,2020-01-02 12:51,Pink Floyd,Echoes - 2011 Remastered Version,482816
74,2020-01-02 12:54,The Beatles,Something - Remastered 2009,182293
75,2020-01-02 12:58,The Beatles,Maxwell's Silver Hammer - Remastered 2009,207920
76,2020-01-02 13:01,The Beatles,Oh! Darling - Remastered 2009,207240
77,2020-01-02 13:04,The Beatles,Octopus's Garden - Remastered 2009,170720
78,2020-01-02 13:11,The Beatles,I Want You (She's So Heavy) - Remastered 2009,405053
79,2020-01-02 13:14,The Beatles,Here Comes The Sun - Remastered 2009,185733
80,2020-01-02 13:16,The Beatles,Because - Remastered 2009,165666
81,2020-01-02 13:20,The Beatles,You Never Give Me Your Money - Remastered 2009,242973
