artistName,trackName,trackName
*NSYNC,Bye Bye Bye,1
*NSYNC,It's Gonna Be Me,1
*NSYNC,"Tell Me, Tell Me...Baby",1
10cc,Honeymoon With B Troop,1
10cc,I'm Not In Love,1
10cc,Rubber Bullets,1
12:00,Return of the King (feat. DJ Muscleboy),1
13th Floor Elevators,You're Gonna Miss Me (2008 Remastered Original Mono LP Version),1
3 Doors Down,Here Without You - Acoustic Version,1
A Day To Remember,All I Want - Acoustic,1
A Flock Of Seagulls,I Ran,2
A Flock Of Seagulls,I Ran (So Far Away),1
ABBA,Dancing Queen,6
ABBA,"Knowing Me, Knowing You",1
ABBA,SOS,1
AC/DC,Back In Black,2
AC/DC,Cold Hearted Man,1
AC/DC,Shoot to Thrill,1
AJR,Weak,1
Ace of Base,Beautiful Life,2
Adam Lambert,Whataya Want from Me,1
Adam Torres,Green Mountain Road,1
Aerosmith,Dream On,3
Aerosmith,Sweet Emotion,2
Aerosmith,Walk This Way,2
Aerosmith,Cryin',1
Al Kooper,Lookin' for a Home,4
Al Martino,I Have But One Heart,2
Alesha Dixon,The Boy Does Nothing,1
Alexandre Desplat,Mr. Moustafa,3
Alina Baraz,Electric (feat. Khalid),1
Aliotta Haynes Jeremiah,Lake Shore Drive,87
Aliotta Haynes Jeremiah,For Eddy,1
Allman Brothers Band,In Memory Of Elizabeth Reed,1
Allman Brothers Band,Melissa,1
Allman Brothers Band,Soulshine,1
Alvin Lee,The Bluest Blues - Remastered,1
America,A Horse with No Name,4
America,Ventura Highway,2
Amy Winehouse,You Know I'm No Good,19
Amy Winehouse,Rehab,15
Amy Winehouse,Me & Mr Jones,13
Amy Winehouse,Just Friends,11
Amy Winehouse,Back To Black,9
Amy Winehouse,Addicted,7
Amy Winehouse,Love Is A Losing Game,7
Amy Winehouse,Tears Dry On Their Own,7
Amy Winehouse,Wake Up Alone,7
Amy Winehouse,He Can Only Hold Her,6
Amy Winehouse,Some Unholy War,6
Amy Winehouse,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",4
Amy Winehouse,Cupid - Deluxe Edition Version,1
Amy Winehouse,Monkey Man,1
Amy Winehouse,Some Unholy War - Down Tempo,1
Anne-Marie,Ciao Adios,1
Anoushka Shankar,Arpan - Live,1
Anoushka Shankar,Your Eyes (Sitar Solo) - Live,1
Ari Eldjárn,Jarðarför aldarinnar,2
Ariana Grande,bloodline,4
Ariana Grande,Dangerous Woman,1
Ariana Grande,Into You,1
Armando Trovajoli,"To Catch a Thief - Original Soundtrack Theme from ""To Catch a Thief""",1
Astrid S,Bloodstream,2
Auður,Enginn eins og þú,1
Ava Max,Born to the Night,58
Ava Max,Torn,52
Ava Max,Who's Laughing Now,48
Ava Max,Call Me Tonight,43
Ava Max,OMG What's Happening,43
Ava Max,Belladonna,42
Ava Max,Take You To Hell,39
Ava Max,H.E.A.V.E.N,32
Ava Max,Rumors,32
Ava Max,So Am I,31
Ava Max,Kings & Queens,30
Ava Max,Naked,30
Ava Max,Salt,29
Ava Max,Sweet but Psycho,29
Ava Max,Tattoo,29
Ava Max,My Way,1
Avicii,Waiting For Love,4
Avicii,Freak (feat. Bonn),3
Avicii,SOS (feat. Aloe Blacc),2
Avicii,Somewhere In Stockholm,2
Avicii,Talk To Myself,2
Avicii,Ten More Days,2
Avicii,Touch Me,2
Avicii,Addicted To You,1
Avicii,All You Need Is Love,1
Avicii,Broken Arrows,1
Avicii,Can't Catch Me,1
Avicii,Canyons,1
Avicii,City Lights,1
Avicii,Dear Boy,1
Avicii,For A Better Day,1
Avicii,Gonna Love Ya,1
Avicii,Heart Upon My Sleeve,1
Avicii,Hey Brother,1
Avicii,Hope There's Someone,1
Avicii,Lay Me Down,1
Avicii,Levels - Instrumental,1
Avicii,Levels - Original Version,1
Avicii,Levels - Radio Edit,1
Avicii,Liar Liar,1
Avicii,Peace Of Mind (feat. Vargas & Lagola),1
Avicii,Pure Grinding,1
Avicii,Shame On Me,1
Avicii,Sunset Jesus,1
Avicii,"Tough Love (feat. Agnes, Vargas & Lagola)",1
Avicii,Trouble,1
Avicii,True Believer,1
Avicii,Wake Me Up,1
Avicii,You Make Me,1
Avril Lavigne,What the Hell,1
BRÍET,Esjan,35
BRÍET,Rólegur Kúreki,23
BRÍET,Heyrðu Mig,4
BRÍET,DINO,2
BRÍET,Djúp Sár Gróa Hægt,2
BRÍET,Feimin(n),2
BRÍET,In Too Deep,2
BRÍET,Carousel (feat. Steinar),1
BRÍET,Eltum Sólina (Intermission),1
BRÍET,Hann Er Ekki Þú,1
BRÍET,Næturfrost,1
BRÍET,Rauðar Rósir Fölna,1
BRÍET,Twin,1
Backstreet Boys,As Long as You Love Me,1
Backstreet Boys,Everybody (Backstreet's Back) - Radio Edit,1
Backstreet Boys,I Want It That Way,1
Backstreet Boys,Larger Than Life,1
Backstreet Boys,Show Me the Meaning of Being Lonely,1
Badfinger,Come And Get It - Remastered 2010,5
Badfinger,Dear Angie - Remastered 2010,2
Baggalútur,"Er eg að verða vitlaus, eða hvað?",1
Baggalútur,How do you like Iceland?,1
Barns Courtney,"""99"" - Acoustic",1
Becky G,Can't Get Enough (feat. Pitbull),2
Benjamin Ingrosso,All Night Long (All Night) - Recorded at Spotify Studios Stockholm,3
Benjamin Ingrosso,Costa Rica,1
Benjamin Ingrosso,Dance You Off,1
Benjamin Ingrosso,Shampoo,1
Benjamin Ingrosso,The Dirt,1
Bernard Herrmann,Vertigo: I. Prelude,9
Bernard Herrmann,North by Northwest: Overture,7
Bernard Herrmann,Vertigo: III. Scene d'Amour,6
Bernard Herrmann,Psycho (arr. J. Mauceri for orchestra),4
Bernard Herrmann,"The Man Who Kew Too Much: Storm Clouds Cantata (arr. B. Herrmann for Soprano, Choir and Orchestra)",3
Bernard Herrmann,The Man Who Knew Too Much: Overture (arr. J. Mauceri for orchestra),3
Billie Eilish,come out and play,15
Billie Eilish,No Time To Die,2
Billie Eilish,bad guy,2
Billie Eilish,!!!!!!!,1
Billie Eilish,Therefore I Am,1
Billie Eilish,when the party's over,1
Billie Eilish,xanny,1
Billy Bragg,Levi Stubbs' Tears,3
Billy Bragg,Hobo's Lullaby,1
